Date,Open,High,Low,Close,Volume
05-07-2012,1215.55,1250,1213.5,1240.3,1278100
06-07-2012,1240.35,1242,1211.5,1215.5,611000
09-07-2012,1212,1213,1183.75,1187.75,403900
10-07-2012,1193,1228.8,1181,1220.55,794600
11-07-2012,1214,1218,1200.05,1203.4,407300
12-07-2012,1199.8,1216,1189.15,1195.6,559500
13-07-2012,1200.25,1207.9,1175.65,1183.95,592800
16-07-2012,1190,1212.95,1178.4,1203.3,599600
17-07-2012,1210.5,1215.75,1190.6,1196.2,273100
18-07-2012,1197.35,1229,1186.8,1226.6,508700
19-07-2012,1175,1175,1110,1117.3,8345300
20-07-2012,1095.25,1151.7,1094.75,1147.5,4553400
23-07-2012,1106,1107,1074.3,1079.95,4040200
24-07-2012,1086,1119,1085.25,1106.9,2373400
25-07-2012,1095,1107.8,1085.95,1102.95,1202400
26-07-2012,1110,1125.6,1098.6,1108.55,2109300
27-07-2012,1124.75,1124.95,1106.05,1112.95,884800
30-07-2012,1085.1,1124.5,1082.65,1119.9,1353300
31-07-2012,1115,1137.6,1112.75,1134.85,708500
01-08-2012,1134,1144,1118.5,1125.6,704100
02-08-2012,1129.8,1134,1116,1125.35,429800
03-08-2012,1119.8,1124.85,1108.95,1120.85,297500
06-08-2012,1134,1141,1125,1137.65,425400
07-08-2012,1139.95,1148.95,1130,1146.95,556400
08-08-2012,1140.6,1151.25,1136,1140.1,568500
09-08-2012,1142,1166,1137,1144.8,895000
10-08-2012,1144,1175.85,1140.65,1165.8,638600
13-08-2012,1179.3,1195,1177.2,1184.95,838200
14-08-2012,1184,1191,1160,1184.9,418200
